LinkId,Geometry
113845,"LINESTRING(356585.34495 6689135.75402,356575.00946 6689123.33131)"
113847,"LINESTRING(355190.96146 6688965.48798,355198.93130 6688964.86052,355206.91952 6688965.60054,355221.88642 6688968.89690,355228.59870 6688971.43525,355234.59874 6688973.32494,355240.98711 6688975.63724,355248.87716 6688979.00879,355256.76990 6688982.55822,355261.56745 6688984.76219,355264.77661 6688986.11220,355273.85091 6688989.24846)"
114962,"LINESTRING(356010.77198 6689084.13771,356008.04204 6689088.33392,355978.94467 6689135.52890,355977.38086 6689138.12246)"
116583,"LINESTRING(356139.65354 6689408.64780,356106.01448 6689392.68460,356064.46558 6689372.07061,356040.88353 6689359.87836,356023.59996 6689350.42727,356002.99096 6689338.78696,355978.88506 6689324.08836,355940.73254 6689300.07500,355892.97292 6689269.46178)"
116584,"LINESTRING(355892.97292 6689269.46178,355940.73254 6689300.07500,355978.88506 6689324.08836,356002.99096 6689338.78696,356023.59996 6689350.42727,356040.88353 6689359.87836,356064.46558 6689372.07061,356106.01448 6689392.68460,356139.65354 6689408.64780)"
116585,"LINESTRING(355892.97292 6689269.46178,355869.71657 6689254.78136,355845.58729 6689240.74106,355783.84584 6689207.74195,355705.39071 6689167.18519,355555.73910 6689089.47185)"
116586,"LINESTRING(355555.73910 6689089.47185,355705.39071 6689167.18519,355783.84584 6689207.74195,355845.58729 6689240.74106,355869.71657 6689254.78136,355892.97292 6689269.46178)"
11723,"LINESTRING(355067.04655 6689644.57971,355075.36137 6689640.49405,355081.20040 6689637.64192,355087.80857 6689633.27665,355090.97512 6689630.22298,355092.76388 6689627.07096,355094.22941 6689623.70397,355096.96325 6689618.67259)"
11730,"LINESTRING(355106.29477 6689634.53333,355094.96800 6689638.97110,355086.22136 6689641.35711,355078.57442 6689642.83396,355067.04655 6689644.57971)"
117926,"LINESTRING(354834.34174 6688882.43242,354837.95519 6688884.21500,354850.90387 6688890.75370,354869.65216 6688900.03895,354882.20166 6688906.10012,354932.20657 6688931.46886,354936.01093 6688933.40735,354938.62168 6688940.53297,354943.98091 6688943.13814,354976.40947 6688958.77568)"
117927,"LINESTRING(354976.40947 6688958.77568,354943.98091 6688943.13814,354938.62168 6688940.53297,354936.01093 6688933.40735,354932.20657 6688931.46886,354882.20166 6688906.10012,354869.65216 6688900.03895,354850.90387 6688890.75370,354837.95519 6688884.21500,354834.34174 6688882.43242)"
117928,"LINESTRING(354976.40947 6688958.77568,355009.36075 6688975.85184,355018.40032 6688974.45020,355044.52717 6688987.97128,355051.50828 6688991.61765,355063.60226 6689000.29795,355070.12704 6689004.18212)"
117929,"LINESTRING(355070.12704 6689004.18212,355063.60226 6689000.29795,355051.50828 6688991.61765,355044.52717 6688987.97128,355018.40032 6688974.45020,355009.36075 6688975.85184,354976.40947 6688958.77568)"
11807,"LINESTRING(355992.45398 6689397.17298,355994.01510 6689403.08000,355996.51828 6689406.91886,355999.79692 6689410.40147,356004.10929 6689413.66872,356008.41932 6689415.71221,356013.81476 6689416.85867,356020.29450 6689416.56296,356026.99935 6689415.17504,356033.24271 6689413.14615,356039.61337 6689409.77479,356046.99964 6689404.16415)"
118992,"LINESTRING(355308.34858 6688984.16233,355313.06197 6688986.61597,355321.51855 6688989.82137,355375.30625 6689011.55939,355404.93660 6689023.27745,355421.53653 6689028.99452)"
118993,"LINESTRING(355421.53653 6689028.99452,355404.93660 6689023.27745,355375.30625 6689011.55939,355321.51855 6688989.82137,355313.06197 6688986.61597,355308.34858 6688984.16233)"
119097,"LINESTRING(354961.24639 6690034.17856,354966.89856 6690035.44272,354985.10065 6690041.24383)"
119098,"LINESTRING(355204.35718 6689877.02666,355207.95365 6689913.54682,355207.68603 6689924.65524)"
119103,"LINESTRING(355085.72884 6689859.67317,355081.32010 6689855.39965)"
119104,"LINESTRING(355027.13847 6689807.08426,355022.99099 6689804.05294,354972.25194 6689756.29553,354920.03253 6689709.82579,354918.55653 6689708.55375,354916.99550 6689707.25325,354912.39153 6689703.14690)"
119192,"LINESTRING(355604.66712 6689808.19705,355576.32175 6689846.10514,355575.36467 6689847.38429)"
119236,"LINESTRING(355575.36467 6689847.38429,355555.49003 6689874.71192,355554.28901 6689876.36119,355552.87915 6689878.20055)"
121705,"LINESTRING(355755.68951 6688869.24859,355756.59267 6688867.29390,355773.35459 6688830.61169,355779.35968 6688817.21420)"
121706,"LINESTRING(355779.35968 6688817.21420,355773.35459 6688830.61169,355756.59267 6688867.29390,355755.68951 6688869.24859)"
121966,"LINESTRING(355476.29504 6689647.56871,355487.85346 6689647.40192,355487.95988 6689647.40690,355498.84305 6689648.28050)"
121971,"LINESTRING(355529.91156 6689635.20450,355531.19791 6689633.19425,355533.30307 6689630.79181,355536.71468 6689628.30282,355539.50611 6689626.49496,355546.75412 6689622.57170)"
121972,"LINESTRING(355546.75412 6689622.57170,355574.11708 6689609.91016,355586.91101 6689603.83095)"
121975,"LINESTRING(355546.75412 6689622.57170,355545.14726 6689616.66741,355554.53668 6689590.87978)"
124537,"LINESTRING(354918.64808 6689056.74538,354926.43823 6689063.23766,354929.13301 6689066.44196,354931.97376 6689070.72820)"
124844,"LINESTRING(354780.81471 6688940.34854,354804.20668 6688960.31322)"
125272,"LINESTRING(355211.46653 6689593.29511,355209.64785 6689588.71604,355207.77336 6689582.51575,355206.45451 6689570.97610,355205.07369 6689557.31490,355204.35355 6689548.78926,355202.31062 6689487.46782,355201.08597 6689470.08141)"
125273,"LINESTRING(355201.08597 6689470.08141,355202.31062 6689487.46782,355204.35355 6689548.78926,355205.07369 6689557.31490,355206.45451 6689570.97610,355207.77336 6689582.51575,355209.64785 6689588.71604,355211.46653 6689593.29511)"
128248,"LINESTRING(355943.99076 6688894.98184,355937.14488 6688892.75081,355872.59307 6688877.98169,355847.31443 6688871.77371)"
128271,"LINESTRING(356114.06766 6689305.39147,356120.34970 6689286.53764,356121.73195 6689283.68754)"
128458,"LINESTRING(355277.66902 6689002.71319,355274.06106 6689010.07585,355271.46801 6689015.32150,355256.94715 6689045.06657,355244.26972 6689069.84298,355242.25979 6689073.76431,355240.80104 6689076.59679,355240.51318 6689077.78169,355240.87782 6689078.45045,355242.09772 6689079.22556,355242.92559 6689079.64503)"
128459,"LINESTRING(355242.92559 6689079.64503,355242.09772 6689079.22556,355240.87782 6689078.45045,355240.51318 6689077.78169,355240.80104 6689076.59679,355242.25979 6689073.76431,355244.26972 6689069.84298,355256.94715 6689045.06657,355271.46801 6689015.32150,355274.06106 6689010.07585,355277.66902 6689002.71319)"
128504,"LINESTRING(355951.33164 6688897.25110,355943.99076 6688894.98184)"
128505,"LINESTRING(355943.99076 6688894.98184,355951.33164 6688897.25110)"
128926,"LINESTRING(355227.52152 6689145.26789,355231.03627 6689148.75872,355244.92525 6689162.14219,355248.83327 6689165.35440,355255.99019 6689170.08122,355265.25500 6689175.07566,355294.10465 6689191.92297,355302.34599 6689196.78746,355312.52962 6689202.59675,355318.67492 6689205.82439,355354.94505 6689223.70084,355383.65058 6689236.61818,355384.80716 6689237.08544,355385.96375 6689237.55270,355388.99998 6689238.66798,355392.46062 6689239.12454,355396.40573 6689239.17484,355399.85138 6689239.10934)"
129512,"LINESTRING(355182.24102 6689096.51448,355184.13572 6689097.02806,355185.51458 6689098.06100,355196.25967 6689108.98913,355207.28195 6689121.95962)"
131444,"LINESTRING(355159.88077 6689455.99597,355139.21793 6689453.55200)"
131445,"LINESTRING(355139.21793 6689453.55200,355159.88077 6689455.99597)"
132397,"LINESTRING(355430.05588 6689658.77298,355435.76752 6689658.17607,355460.31090 6689657.60422,355466.73071 6689657.45600,355475.67532 6689657.18423)"
132398,"LINESTRING(355475.67532 6689657.18423,355466.73071 6689657.45600,355460.31090 6689657.60422,355435.76752 6689658.17607,355430.05588 6689658.77298)"
1348,"LINESTRING(356560.84233 6689111.90801,356554.72322 6689108.33270,356442.59653 6689039.45277)"
134800,"LINESTRING(356086.67925 6689129.05098,356076.34452 6689122.44804,356013.61344 6689085.82085,356010.77198 6689084.13771)"
134801,"LINESTRING(356010.77198 6689084.13771,356013.61344 6689085.82085,356076.34452 6689122.44804,356086.67925 6689129.05098)"
134803,"LINESTRING(355687.15749 6689089.93086,355694.59513 6689087.30978,355699.93768 6689088.05848,355703.58355 6689088.57130)"
134804,"LINESTRING(355703.58355 6689088.57130,355755.69511 6689099.30535,355773.66474 6689103.67595,355775.69334 6689104.01509)"
135041,"LINESTRING(356090.16020 6689554.52808,356108.40881 6689563.76793,356117.00215 6689568.57981,356126.40391 6689573.34511)"
135042,"LINESTRING(356126.40391 6689573.34511,356146.49134 6689583.71409,356157.29959 6689589.07707)"
135391,"LINESTRING(355207.28195 6689121.95962,355217.39318 6689133.85902,355227.52152 6689145.26789)"
135394,"LINESTRING(355301.11030 6689125.79526,355289.86598 6689119.86924,355286.38934 6689117.95611,355255.16133 6689101.54665,355252.63933 6689100.27934,355248.99923 6689098.03075,355246.51049 6689096.02718,355238.45044 6689087.48061)"
137239,"LINESTRING(355790.14034 6689640.34559,355799.39760 6689639.05491,355808.55228 6689637.82580,355822.99622 6689632.61989,355848.25310 6689619.58045)"
137240,"LINESTRING(355848.25310 6689619.58045,355822.99622 6689632.61989,355808.55228 6689637.82580,355799.39760 6689639.05491,355790.14034 6689640.34559)"
138581,"LINESTRING(355396.95554 6689310.38467,355387.42622 6689328.23644,355379.25824 6689343.40606,355374.83428 6689352.65163,355371.23378 6689361.05968)"
138582,"LINESTRING(355437.74713 6689224.62618,355440.66308 6689220.50796,355448.03293 6689209.23424,355454.73355 6689205.27576)"
139061,"LINESTRING(356230.70632 6688800.33914,356230.66677 6688798.20519,356231.02272 6688796.09296,356231.77991 6688794.10226,356232.89557 6688792.28005,356234.34329 6688790.69461,356236.05891 6688789.41639,356237.99208 6688788.49281)"
